,name,user_card,titles,comment_num,comment_num,time,device,text,pic_num,video
36,董礼LD,id=1843814111&refer_flag=1001015010_,"['董礼LD', '', '熊猫守护者']",?评论,?赞,2018-10-13 17:47,,"北大书店。

风吹草木动，莫非的摄影有一丝艾略特的影子。

趁着中间时间看完了《长夜留痕》，也就是那著名的The Remains of the Day。

一切都很好。 2北京·北京大学",6.0,False
37,那国王的驴耳朵,id=6544896502&refer_flag=1001015010_,['那国王的驴耳朵'],?评论,?赞,2018-10-13 18:20,,所以脱单是为了什么呢？ 2北京·北京大学,1.0,False
38,小宜子,id=1665041580&refer_flag=1001015010_,"['小宜子', '熊猫守护者']",?评论,?1,2018-10-13 10:01,,博雅塔下悟精神 未名湖畔好读书 2北京·北京大学,2.0,False
39,我不是Raphael,id=1934099820&refer_flag=1001015010_,"['我不是Raphael', '', '微博会员']",?评论,?2,2018-10-13 17:44,,现代人（我）真是太可笑了，在工作日生病了，先吃一些缓释的药拖着，到了周末一天三次重药加疯狂睡觉企图短短两日的周末治好。像是坏了的电脑，周末才有时间去修。 2北京·北京大学,0.0,False
40,做自律的人,id=6435946875&refer_flag=1001015010_,['做自律的人'],?评论,?赞,2018-10-13 06:39,HUAWEI Mate 10,"北大光华2017EMBA拓展11队,永远的兄弟姐妹情 2北京·北京大学",9.0,False
41,崔澜馨,id=1664951084&refer_flag=1001015010_,"['崔澜馨', '']",? 1,?赞,2018-10-13 15:45,,这张照片你看到了什么？ 2北京·北京大学,1.0,False
42,菠萝小姐喵,id=2047716863&refer_flag=1001015010_,['菠萝小姐喵'],? 1,?赞,2018-10-13 17:57,前后2000万 OPPO R11s,母校 2北京·北京大学,0.0,False
0,棍棍1202,id=2651704913&refer_flag=1001015010_,['棍棍1202'],?评论,?赞,2018-10-13 14:15,,分享图片 2北京·北京大学,4.0,False
1,Glioy,id=3920790242&refer_flag=1001015010_,"['Glioy', '熊猫守护者']",?评论,?4,2018-10-13 14:13,荣耀10 AI变色更潮美,"昨天下午
没头没脑地就想去医学部转转
从小
一直对医生这个行业
充满了憧憬
但是现实还是让我做出了选择
没能学成医  看看总行吧...展开全文c",2.0,False
2,DavidWizLee,id=5227804707&refer_flag=1001015010_,['DavidWizLee'],? 1,?赞,2018-10-13 17:52,,"《影》：一部显然是被过誉了的电影。所有的啧啧称奇都聚焦在影片的色调，情节逻辑却经不起推敲，关于“真假”的讨论又浅显粗糙。我们是不是该问一句，张国师，你是不是在形式主义的泥淖里越陷越深爬不出来了？

以下是补充：
1. 关于色调：总有评论说《影》是中国的水墨写意，可黑白不代表水墨，水墨也 ...展开全文c",0.0,False
3,ab52113141,id=2621269803&refer_flag=1001015010_,['ab52113141'],?评论,?赞,2018-10-13 16:16,,出去浪 2北京·北京大学,2.0,False
4,玉见了,id=1510658964&refer_flag=1001015010_,['玉见了'],?评论,?赞,2018-10-13 17:36,,第一次课，点名，久违的校园。 2北京·北京大学,1.0,False
5,冬瓜的科研生活,id=5689149418&refer_flag=1001015010_,"['冬瓜的科研生活', '微博会员']",? 7,?21,2018-10-13 12:03,,"人太多，全是拍照追星的……我的导师作为副校长给Gérard Mourou教授颁发了证书（没听清是啥证书）～
Mourou教授因为发明产生高强度超短激光脉冲的啁啾脉冲放大技术而获得2018年诺贝尔物理学奖～ 2北京·北京大学",2.0,False
6,高歌歌声高,id=1292984285&refer_flag=1001015010_,"['高歌歌声高', '']",?评论,?赞,2018-10-13 11:53,,分享图片 2北京·北京大学,5.0,False
7,胡适不是那个胡适,id=5422198758&refer_flag=1001015010_,['胡适不是那个胡适'],?评论,?1,2018-10-13 17:00,HUAWEI Mate 10,今天听课，突然特别喜欢王沪宁。我一直的偶像是曾国藩，现在这个时间里王沪宁就是现实偶像了！但是他以前的书好难找呀！ 2北京·北京大学,0.0,False
8,阿啊阿啊阿啊赖,id=2854299475&refer_flag=1001015010_,['阿啊阿啊阿啊赖'],? 3,?赞,2018-10-13 17:28,小米手机5,"一星今天菜的真实
看今天的状态是要跟季后赛say goodbye了 2北京·北京大学",1.0,False
9,桃小甜甜,id=2904135683&refer_flag=1001015010_,"['桃小甜甜', '熊猫守护者']",?评论,?赞,2018-10-13 14:08,,"最不喜欢绩效管理的我
偏偏遇到了超级有趣的老周 2北京·北京大学",1.0,False
10,Unfogging-,id=2273159707&refer_flag=1001015010_,"['Unfogging-', '微博会员', '熊猫守护者']",? 4,?7,2018-10-13 14:52,,前两天做梦梦见医生跟我说，我熬夜太多了让我回家等死吧……这学期一定好好听课好好运动 2北京·北京大学,1.0,False
11,小王子buling,id=3858315330&refer_flag=1001015010_,['小王子buling'],? 1,?5,2018-10-13 13:56,,上次见弟弟他还是瘦的跟马杆一样，这两年长胖了不少，也转了转业。他爱喝百事，我爱喝可乐，就像一个在为学业奋斗，一个在为工作努力?? 2北京·北京大学,1.0,False
12,不喝酸奶也咬吸管的圈圈圈,id=3541610242&refer_flag=1001015010_,['不喝酸奶也咬吸管的圈圈圈'],? 1,?1,2018-10-13 14:04,,哇，属于山楂精的秋冬季节来啦 2北京·北京大学,1.0,False
13,春雷绣冬十八停,id=5341797604&refer_flag=1001015010_,['春雷绣冬十八停'],?评论,?2,2018-10-13 13:34,HUAWEI P10 Plus,"每周唯一娱乐
看日语老师放的糟糕综艺 2北京·北京大学",1.0,False
14,小飞侠儿彼得潘,id=2734188743&refer_flag=1001015010_,"['小飞侠儿彼得潘', '', '熊猫守护者']",? 3,?赞,2018-10-13 13:04,,你们为什么都不愿意挨着我坐 2北京·北京大学,1.0,False
15,FAN工作室,id=1044102585&refer_flag=1001015010_,"['FAN工作室', '', '微博会员', '熊猫守护者']",?评论,?3,2018-10-13 13:28,,#炫富挑战#打卡上课，炫一炫我们的学院，北大约啊 2北京·北京大学,1.0,False
16,sweetoo_,id=3479649183&refer_flag=1001015010_,"['sweetoo_', '', '微博会员', '熊猫守护者']",?评论,?1,2018-10-13 17:07,,"原来我不是喜欢上学
是喜欢上课偷吃零食的感觉 2北京·北京大学",1.0,False
17,金小妞_Iris,id=1875280183&refer_flag=1001015010_,['金小妞_Iris'],? 2,?赞,2018-10-13 10:22,前后2000万 OPPO R11s,"寸土寸金、想起来了五年前去香港的蚁窝。想法一下作为纪念，坚持这么久觉得毕不毕业都无所谓了，路上收获沉淀的足多……

最后一句:别闹，还是得毕业哈 2北京·北京大学",2.0,False
18,Corneliuuus,id=6530039476&refer_flag=1001015010_,['Corneliuuus'],?评论,?赞,2018-10-13 16:05,,分享图片 2北京·北京大学,1.0,False
19,Forest_blessU,id=6359167999&refer_flag=1001015010_,['Forest_blessU'],? 1,?赞,2018-10-13 12:00,HUAWEI P20 Pro,呃呃呃呃无意间看到了MBA整个项目的面试被吊打 2北京·北京大学,1.0,False
20,少年无言言言言言言_,id=1843847002&refer_flag=1001015010_,"['少年无言言言言言言_', '']",?评论,?赞,2018-10-13 11:29,,"你们已经跑完摇滚半马了吧

我在学校熬着呢 2北京·北京大学",1.0,False
21,桃小甜甜,id=2904135683&refer_flag=1001015010_,"['桃小甜甜', '熊猫守护者']",?评论,?赞,2018-10-13 16:58,,老周说，科学解释不通的，就用文学来解释。牛逼 2北京·北京大学,0.0,False
22,DeltaEECS,id=5514634029&refer_flag=1001015010_,['DeltaEECS'],?评论,?赞,2018-10-13 16:53,小米6 拍人更美,跟兰州还是蛮有缘的，走了这么远都能扯上关系 2北京·北京大学,1.0,False
23,我是柯林,id=2493480155&refer_flag=1001015010_,"['我是柯林', '', '熊猫守护者']",?评论,?赞,2018-10-13 10:36,,日拱一卒，不期速成。 2北京·北京大学,1.0,False
24,刘佳欣yeah,id=5264840440&refer_flag=1001015010_,['刘佳欣yeah'],?评论,?2,2018-10-13 10:01,OPPO R9s,北大也太美了吧，特别有古代学堂的感觉，而且学习氛围好弄啊，教学楼设施也超级棒 2北京·北京大学,1.0,False
