,name,user_card,titles,comment_num,comment_num,time,device,text,pic_num,video
2,刘一tuan,id=5642689914&refer_flag=1001015010_,['刘一tuan'],?评论,?1,2018-10-09 11:56,HUAWEI nova 2s,#Janet Andy#第一节视听课就为了他俩活活看到了第八单元，没看到JanetAndy在一起，好甜啊求剧透。 2北京·北京工商大学（良乡校区）,1.0,False
3,Mamihlapinatapaiwdr,id=6122505968&refer_flag=1001015010_,['Mamihlapinatapaiwdr'],? 3,?5,2018-10-09 12:56,,无意翻到上学期临近期末考试心态大爆炸时候的减压作品 2北京·北京工商大学（良乡校区）,1.0,False
4,Asim_,id=3816286270&refer_flag=1001015010_,['Asim_'],? 1,?5,2018-10-09 15:03,,?K希冀-万能青年 2北京·北京工商大学（良乡校区）,2.0,False
5,天啦噜怎么会有这个人,id=5218807679&refer_flag=1001015010_,"['天啦噜怎么会有这个人', '熊猫守护者']",?评论,?8,2018-10-09 11:09,,分享图片 2北京·北京工商大学（良乡校区）,1.0,False
6,翰叔儿,id=5013894796&refer_flag=1001015010_,['翰叔儿'],?评论,?5,2018-10-09 10:23,,分享图片 2北京·北京工商大学（良乡校区）,1.0,False
7,我的小鱼干也给你,id=5252679138&refer_flag=1001015010_,"['我的小鱼干也给你', '微博会员', '熊猫守护者']",? 10,?30,2018-10-08 22:58,,这故事中的人不太精彩 2北京·北京工商大学（良乡校区）,9.0,False
8,栗子l栗子,id=1049313627&refer_flag=1001015010_,"['栗子l栗子', '熊猫守护者']",? 5,?2,2018-10-09 07:03,,闹铃响了5分钟您也不关，叫您您也不理，您还开振动，七点半起，六点半定闹铃，您脑袋是让驴踢了还是您天生就没有脑袋这种东西，送您一名儿，傻逼 2北京·北京工商大学（良乡校区）,0.0,False
9,Ewedihalehu2049_GCXX,id=2821895995&refer_flag=1001015010_,"['Ewedihalehu2049_GCXX', '']",?评论,?10,2018-10-08 23:36,vivo X20全面屏手机,#欧阳娜娜#欧阳娜娜是仙女，仙女，仙女!真是个美好的女孩儿啊 2北京·北京工商大学（良乡校区）,9.0,False
10,LLMAAAAA,id=5218181407&refer_flag=1001015010_,['LLMAAAAA'],? 3,?2,2018-10-08 23:41,,今天把楼里的朋友拉到宿舍做指甲，超好看超便宜超开心 2北京·北京工商大学（良乡校区）,1.0,False
11,阿猫就叫阿猫,id=5606909038&refer_flag=1001015010_,['阿猫就叫阿猫'],?评论,?赞,2018-10-09 00:05,,"要活成自己喜欢的样子
要在人海中脱颖而出

要做一个有高鼻梁和喉结的姑娘 2北京·北京工商大学（良乡校区）",1.0,False
12,nwk吴炜杰,id=6293612300&refer_flag=1001015010_,['nwk吴炜杰'],?评论,?赞,2018-10-08 23:11,小米5s 拍照黑科技,第一场新生赛没能凯旋，但是学到很多经验，值得，艺传必胜 2北京·北京工商大学（良乡校区）,1.0,False
13,最最最贫的博主,id=6403696420&refer_flag=1001015010_,['最最最贫的博主'],?评论,?7,2018-10-08 21:03,,滴 打卡 2北京·北京工商大学（良乡校区）,1.0,False
14,黄家傑699,id=6506427173&refer_flag=1001015010_,['黄家傑699'],?评论,?1,2018-10-08 15:35,,"??? 泰国曼谷黎明寺（Temple of the Dawn），又称郑王庙（Wat Arun），是纪念泰国第41代君王、民族英雄郑昭的寺庙。始建于大城王朝，当时名皇冠寺，后改称昌寺。黎明寺位于泰国湄南河西岸的双子都市吞武里城，是泰国著名的寺庙，也是泰国王家寺庙之一。
黎明寺位於昭披耶河的西岸，以其79公尺 ...展开全文c",4.0,False
15,小美我是图图,id=3498630332&refer_flag=1001015010_,['小美我是图图'],?评论,?2,2018-10-08 19:25,小米手机5,迎着灯光向你走来，小吃一条街 2北京·北京工商大学（良乡校区）,1.0,False
16,Rinkarr,id=2129122425&refer_flag=1001015010_,"['Rinkarr', '微博会员']",? 1,?4,2018-10-08 14:58,,就是我喜欢的你都有??@TOY-王奕 2北京·北京工商大学（良乡校区）,3.0,False
17,网红造型师苏越,id=6401352470&refer_flag=1001015010_,"['网红造型师苏越', '微博会员']",?评论,?1,2018-10-08 14:26,前置双摄vivo X9Plus,哈哈 2北京·北京工商大学（良乡校区） L网红造型师苏越的秒拍视频,0.0,True
18,Anby_张婉婷,id=3753717525&refer_flag=1001015010_,['Anby_张婉婷'],?评论,?1,2018-10-08 17:24,,姐姐新婚快乐?? 2北京·北京工商大学（良乡校区）,4.0,False
19,白之卿,id=5575224948&refer_flag=1001015010_,"['白之卿', '微博会员']",? 4,?1,2018-10-08 17:17,,"上课第一天可真累啊
被工作和学习充斥的一天 2北京·北京工商大学（良乡校区）",0.0,False
20,小青Cyan149,id=5286932965&refer_flag=1001015010_,['小青Cyan149'],?评论,?1,2018-10-08 13:24,vivo AI智慧拍照X21i,死亡排球 2北京·北京工商大学（良乡校区）,2.0,False
21,_老甜头儿,id=6299466935&refer_flag=1001015010_,"['_老甜头儿', '微博会员']",? 1,?9,2018-10-07 23:49,,K猛犸-后海大鲨鱼乐队 （假期结束/重新做人 2北京·北京工商大学（良乡校区）,6.0,False
22,二白姑娘2018,id=6513425568&refer_flag=1001015010_,['二白姑娘2018'],?评论,?赞,2018-10-08 09:46,vivo X20全面屏手机,对方不想和你说话，并向你扔了一首#亚洲新歌榜#上坤音娱乐 ONER 的新歌 K万能人之歌 2北京·北京工商大学（良乡校区）,0.0,False
23,杜婉晴__,id=5702297120&refer_flag=1001015010_,['杜婉晴__'],? 3,?12,2018-10-08 01:04,前后2000万 OPPO R11s,有趣的灵魂一米七三 2北京·北京工商大学（良乡校区）,2.0,False
24,HYX--XYH,id=1043638487&refer_flag=1001015010_,"['HYX--XYH', '熊猫守护者']",? 1,?5,2018-10-08 00:56,,可以经常见到白先生成为开学的唯一动力 2北京·北京工商大学（良乡校区）,1.0,False
25,耶嘿呦耶,id=5345732429&refer_flag=1001015010_,['耶嘿呦耶'],? 1,?5,2018-10-07 19:27,,"一杯奶茶，一顿烤肉
国庆结束了 2北京·北京工商大学（良乡校区）",6.0,False
26,谢廷杰emulative,id=5896329076&refer_flag=1001015010_,"['谢廷杰emulative', '微博会员']",? 1,?11,2018-10-07 22:30,前后2000万 OPPO R11,愿每天朴素的生活都能活成良辰. 2北京·北京工商大学（良乡校区）,1.0,False
27,楽芙球儿,id=1928074647&refer_flag=1001015010_,"['楽芙球儿', '']",?评论,?4,2018-10-07 23:04,,戴着眼镜就把洗面奶往脸上抹 果然上学都不带脑子 睡觉 ? 2北京·北京工商大学（良乡校区）,1.0,False
28,该用户将被注销,id=2937944907&refer_flag=1001015010_,"['该用户将被注销', '', '微博会员']",?评论,?赞,2018-10-07 21:19,,机智如我#机智# 2北京·北京工商大学（良乡校区）,1.0,False
