,name,user_card,titles,comment_num,comment_num,time,device,text,pic_num,video
10,---胡说---,id=3204849733&refer_flag=1001015010_,['---胡说---'],? 1,?赞,2018-09-22 12:52,小米8周年旗舰手机,女人真是抗冻的生物，今天通县的风少说四级，得一半至少的姑娘还是短裤露着大腿就这么出来了，怪不得一来月经说喝热水人家就不高兴呢，可能是真的不冷。 2北京·北京工商大学嘉华学院,0.0,False
11,---胡说---,id=3204849733&refer_flag=1001015010_,['---胡说---'],?评论,?赞,2018-09-22 12:24,小米8周年旗舰手机,自己报了个考试找点事做结果差点迟到还差点睡着，昨晚喝了点酒三点才睡着，果然抱着玩票心态来考试就这么的懈怠 2北京·北京工商大学嘉华学院,0.0,False
12,阎阎大人,id=5719725239&refer_flag=1001015010_,['阎阎大人'],? 3,?1,2018-09-22 12:14,OPPO智能手机,虽然上午的考试可能凉凉了，但是还有下午呢！加油！日常转发，望保佑@火箭少女101_杨超越 2北京·北京工商大学嘉华学院,6.0,False
13,Suzy_Yzy,id=3180760640&refer_flag=1001015010_,"['Suzy_Yzy', '微博会员']",? 3,?6,2018-09-19 15:48,,"纪念一下今天的死亡芭比粉?
纪念一下继n就之后的白衬衣?? ?
纪念一下我的日常照骗骗骗?? 2北京·北京工商大学嘉华学院",2.0,False
14,呆毛侠,id=1304545902&refer_flag=1001015010_,['呆毛侠'],? 1,?11,2018-09-22 08:04,,法考现场直播：毛发旺盛的都是稀有人种 2北京·北京工商大学嘉华学院,0.0,False
15,阎阎大人,id=5719725239&refer_flag=1001015010_,['阎阎大人'],?评论,?赞,2018-09-22 07:53,OPPO智能手机,路很难走，加油！ 2北京·北京工商大学嘉华学院,0.0,False
16,Dear江南林雨,id=5826369676&refer_flag=1001015010_,['Dear江南林雨'],?评论,?1,2018-09-21 20:29,vivo X21屏幕指纹手机,中秋养生局 2北京·北京工商大学嘉华学院,1.0,False
17,可乐要加冰timi,id=5371332978&refer_flag=1001015010_,['可乐要加冰timi'],? 3,?2,2018-09-20 20:39,,都推走了 我也能安心 2北京·北京工商大学嘉华学院,2.0,False
18,BEIBEI_0210,id=1017876787&refer_flag=1001015010_,['BEIBEI_0210'],? 3,?1,2018-09-20 13:38,HUAWEI Mate 9,??? 2北京·北京工商大学嘉华学院,2.0,False
19,我是晴晴晴晴阿_,id=6235979268&refer_flag=1001015010_,"['我是晴晴晴晴阿_', '微博问答答主']",?评论,?赞,2018-09-17 08:58,,"?0917 周一
?早餐#早餐#
加州黑加仑榛子酸奶（来自奶姨夫家的酸奶）?五道口枣糕王?蓝莓?鸡蛋

五道口枣糕王真的好吃到哭泣 怪不得排队的人那么多（食宝街的排队的人多到爆炸！！）枣糕我又用
烤箱烤了一下吃的 烤过的枣糕外面是脆脆的口感 枣味很浓 不会很甜 跟西贝的比起来性价比高太多 ...展开全文c",5.0,False
20,L-yyyy要早睡,id=5619089115&refer_flag=1001015010_,['L-yyyy要早睡'],?评论,?4,2018-09-19 14:08,,分享图片 2北京·北京工商大学嘉华学院,1.0,False
21,Dear江南林雨,id=5826369676&refer_flag=1001015010_,['Dear江南林雨'],? 1,?赞,2018-09-18 13:33,vivo X21屏幕指纹手机,午睡十分钟被叫穿正装去会场帮忙给别人戴花？？？ 2北京·北京工商大学嘉华学院,2.0,False
22,L-yyyy要早睡,id=5619089115&refer_flag=1001015010_,['L-yyyy要早睡'],?评论,?2,2018-09-19 00:41,,@冰冻过的 2北京·北京工商大学嘉华学院,4.0,False
23,SUGAR小魔女吖,id=6043801029&refer_flag=1001015010_,['SUGAR小魔女吖'],?评论,?1,2018-09-18 22:44,,Ok ?? 2北京·北京工商大学嘉华学院,4.0,False
24,TWENUAN,id=5165421136&refer_flag=1001015010_,['TWENUAN'],? 8,?11,2018-09-17 16:55,,浸泡的好困 2北京·北京工商大学嘉华学院,4.0,False
25,旧人旧她,id=6089264747&refer_flag=1001015010_,['旧人旧她'],?评论,?赞,2018-09-20 21:49,vivo X20全面屏手机,以后少说话，做对事，敏于事，慎于言。对身心健康有好处 2北京·北京工商大学嘉华学院,0.0,False
